Id,Name,DeveloperName,NamespacePrefix,Description,BusinessProcessId,SobjectType,IsActive,CreatedById,CreatedDate,LastModifiedById,LastModifiedDate,SystemModstamp
0123B00000165P7QAI,Building,Building,sustain_app,"Physical assets that include offices, data centers, and warehouse facilities.",,sustain_app__Asset__c,1,0053B000003yo9iQAA,2020-09-24T21:16:27.000+0000,0053B000003yo9iQAA,2020-09-25T16:52:07.000+0000,2020-09-25T16:52:07.000+0000
0123B00000165P8QAI,General,General,sustain_app,"General category for non-building and non-vehicle-sources, which includes Scope 3 travel sources.",,sustain_app__Asset__c,1,0053B000003yo9iQAA,2020-09-24T21:16:28.000+0000,0053B000003yo9iQAA,2020-09-25T16:52:07.000+0000,2020-09-25T16:52:07.000+0000
0123B00000165P9QAI,Vehicle,Vehicle,sustain_app,"Automotive assets that include company cars, company trucks, corporate aircraft, and other fleet vehicles.",,sustain_app__Asset__c,1,0053B000003yo9iQAA,2020-09-24T21:16:29.000+0000,0053B000003yo9iQAA,2020-09-25T16:52:07.000+0000,2020-09-25T16:52:07.000+0000
0123B00000165PAQAY,Data Center Facility,Data_Center_Facility,sustain_app,Report total emissions for data centers and other facilities dominated by IT infrastructure (Scope 1 and 2),,sustain_app__ConsumptionReport__c,1,0053B000003yo9iQAA,2020-09-24T21:16:30.000+0000,0053B000003yo9iQAA,2020-09-24T21:18:54.000+0000,2020-09-24T21:18:54.000+0000
0123B00000165PBQAY,Commercial Building,Real_Estate_Facility,sustain_app,Report total emissions for commercial buildings (Scope 1 and 2),,sustain_app__ConsumptionReport__c,1,0053B000003yo9iQAA,2020-09-24T21:16:31.000+0000,0053B000003yo9iQAA,2020-09-24T21:18:54.000+0000,2020-09-24T21:18:54.000+0000
0123B00000165PHQAY,Travel,Travel,sustain_app,Report total emissions for business travel sources (Scope 3),,sustain_app__ConsumptionReport__c,1,0053B000003yo9iQAA,2020-09-24T21:16:32.000+0000,0053B000003yo9iQAA,2020-09-24T21:18:54.000+0000,2020-09-24T21:18:54.000+0000
0123B00000165PIQAY,Vehicles,Vehicles,sustain_app,"Report total emissions for organization-owned and/or operated vehicles, including aircraft (Scope 1)",,sustain_app__ConsumptionReport__c,1,0053B000003yo9iQAA,2020-09-24T21:16:32.000+0000,0053B000003yo9iQAA,2020-09-24T21:18:54.000+0000,2020-09-24T21:18:54.000+0000
0123B00000165PJQAY,CBECS,CBECS,sustain_app,Commercial Buildings Energy Consumption Survey (CBECS) data for U.S. buildings only,,sustain_app__EmissionFactorOther__c,1,0053B000003yo9iQAA,2020-09-24T21:16:32.000+0000,0053B000003yo9iQAA,2020-09-24T21:16:32.000+0000,2020-09-24T21:16:32.000+0000
0123B00000165PKQAY,Conversion Factors,Conversion_Factors,sustain_app,Conversion factors and global warming potential (GWP) values,,sustain_app__EmissionFactorOther__c,1,0053B000003yo9iQAA,2020-09-24T21:16:33.000+0000,0053B000003yo9iQAA,2020-09-24T21:16:33.000+0000,2020-09-24T21:16:33.000+0000
0123B00000165PLQAY,Mobile Fuels,Mobile_Fuels,sustain_app,,,sustain_app__EmissionFactorOther__c,1,0053B000003yo9iQAA,2020-09-24T21:16:33.000+0000,0053B000003yo9iQAA,2020-09-24T21:16:33.000+0000,2020-09-24T21:16:33.000+0000
0123B00000165PMQAY,Refrigerants,Refrigerants,sustain_app,Refrigerant global warming potential (GWP) values,,sustain_app__EmissionFactorOther__c,1,0053B000003yo9iQAA,2020-09-24T21:16:33.000+0000,0053B000003yo9iQAA,2020-09-24T21:16:33.000+0000,2020-09-24T21:16:33.000+0000
0123B00000165PNQAY,Air Travel,Air_Travel,sustain_app,Emissions factors associated with air travels,,sustain_app__EmissionFactorScope3__c,1,0053B000003yo9iQAA,2020-09-24T21:16:34.000+0000,0053B000003yo9iQAA,2020-09-24T21:16:34.000+0000,2020-09-24T21:16:34.000+0000
0123B00000165POQAY,Ground Travel,Ground_Travel,sustain_app,,,sustain_app__EmissionFactorScope3__c,1,0053B000003yo9iQAA,2020-09-24T21:16:34.000+0000,0053B000003yo9iQAA,2020-09-24T21:16:34.000+0000,2020-09-24T21:16:34.000+0000
0123B00000165PPQAY,Hotel Stay Impact,Hotel,sustain_app,Emission impact as a result of hotel stays.,,sustain_app__EmissionFactorScope3__c,1,0053B000003yo9iQAA,2020-09-24T21:16:34.000+0000,0053B000003yo9iQAA,2020-09-24T21:16:34.000+0000,2020-09-24T21:16:34.000+0000
0123B00000165PQQAY,Rental Car Fuel Efficiency,Rental_Car_Fuel_Efficiency,sustain_app,Emission factors associated with Rental Cars,,sustain_app__EmissionFactorScope3__c,1,0053B000003yo9iQAA,2020-09-24T21:16:35.000+0000,0053B000003yo9iQAA,2020-09-24T21:16:35.000+0000,2020-09-24T21:16:35.000+0000
0123B00000165PRQAY,Scope 3 Travel,Travel,sustain_app,Emissions factors associated with business travel activities,,sustain_app__EmissionFactorScope3__c,1,0053B000003yo9iQAA,2020-09-24T21:16:35.000+0000,0053B000003yo9iQAA,2020-09-24T21:16:35.000+0000,2020-09-24T21:16:35.000+0000
0123B00000165PSQAY,Air Travel,Air_Travel,sustain_app,Use for company business travel on commercial aircraft,,sustain_app__EnergyConsumption__c,1,0053B000003yo9iQAA,2020-09-24T21:16:35.000+0000,0053B000003yo9iQAA,2020-09-24T21:18:54.000+0000,2020-09-24T21:18:54.000+0000
0123B00000165PTQAY,Data Center Facility,Data_Center_Facility,sustain_app,Use for data centers or facilities dominated by IT use,,sustain_app__EnergyConsumption__c,1,0053B000003yo9iQAA,2020-09-24T21:16:36.000+0000,0053B000003yo9iQAA,2020-09-24T21:18:54.000+0000,2020-09-24T21:18:54.000+0000
0123B00000165PUQAY,Fleet Vehicle,Fleet_Vehicle,sustain_app,Use for vehicles that are owned and/or operated by the company (Scope 1 emissions),,sustain_app__EnergyConsumption__c,1,0053B000003yo9iQAA,2020-09-24T21:16:38.000+0000,0053B000003yo9iQAA,2020-09-24T21:18:54.000+0000,2020-09-24T21:18:54.000+0000
0123B00000165PVQAY,Ground Travel,Ground_Travel,sustain_app,"Use for company business travel in personal cars, trains, taxis and limousines.",,sustain_app__EnergyConsumption__c,1,0053B000003yo9iQAA,2020-09-24T21:16:39.000+0000,0053B000003yo9iQAA,2020-09-24T21:18:54.000+0000,2020-09-24T21:18:54.000+0000
0123B00000165PgQAI,Hotel Stay,Hotel_Stay,sustain_app,Use for hotel stays associated with company business travel,,sustain_app__EnergyConsumption__c,1,0053B000003yo9iQAA,2020-09-24T21:16:40.000+0000,0053B000003yo9iQAA,2020-09-24T21:18:54.000+0000,2020-09-24T21:18:54.000+0000
0123B00000165PhQAI,Private Jet,Private_Jet,sustain_app,Use for travel on aircraft that are owned and/or operated by the company (Scope 1 emissions),,sustain_app__EnergyConsumption__c,1,0053B000003yo9iQAA,2020-09-24T21:16:41.000+0000,0053B000003yo9iQAA,2020-09-24T21:18:54.000+0000,2020-09-24T21:18:54.000+0000
0123B00000165PiQAI,Commercial Building,Real_Estate_Facility,sustain_app,Use as a generic category for buildings,,sustain_app__EnergyConsumption__c,1,0053B000003yo9iQAA,2020-09-24T21:16:43.000+0000,0053B000003yo9iQAA,2020-09-24T21:18:54.000+0000,2020-09-24T21:18:54.000+0000
0123B00000165PjQAI,Rental Car,Rental_Car,sustain_app,Use for company business travel in rented cars,,sustain_app__EnergyConsumption__c,1,0053B000003yo9iQAA,2020-09-24T21:16:44.000+0000,0053B000003yo9iQAA,2020-09-24T21:18:54.000+0000,2020-09-24T21:18:54.000+0000
